name,email,phone,age,sex,address,family,weight,port,operation,credit
임은지,seonghyeon32@naver.com,010-8718-1075,27,F,전라북도 부안군,1남1녀,56.87,920107-2421256,폐암,3959-7061-0626-4045
박현준,yyang@nate.com,010-7999-1725,34,M,경상남도 함안군,편모,75.82,851117-1534010,백혈병,1844-6602-4448-1712
이지영,eunjeong71@hanmail.net,010-8148-6815,35,F,충청북도 보은군,편부,59.00,840824-2699941,우울증,8449-1690-9290-5633
이동현,jaeho39@hanmail.net,010-8543-8719,36,M,충청북도 괴산군,편부,75.58,830110-1101645,빈혈,8873-8048-7138-4923
강영숙,gyeonghyi57@daum.net,010-5150-3215,28,F,울산광역시 북구,2남1녀,57.13,910822-2649794,혈우병,3511-7166-2730-0178
손경숙,subin70@hotmail.com,010-4132-4678,24,F,충청남도 당진군,실부실모,56.07,950803-2328218,혈관성 치매,6176-4296-5061-4583
이승민,munyeeun@hanmail.net,010-1537-6434,36,M,전라북도 무주군,1남2녀,75.58,830209-1238611,콜레라,0456-0776-7883-1098
황영미,doyun60@nate.com,010-6363-9174,54,F,울산광역시 북구,1남1녀,59.40,650423-2749307,요도염,5885-6750-6726-9633
이재현,seohyeoni@gmail.com,010-5527-0125,50,M,경기도 성남시 수정구,1남1녀,73.90,690401-1793988,빈혈,9536-8319-9018-3518
이상철,ogsunyu@live.com,010-6688-8452,36,M,서울특별시 강북구,편부,75.58,830406-1590119,요로결석,8962-4493-0774-8128
김상철,hyeonjeong99@daum.net,010-2829-2664,51,M,경상남도 함안군,2남1녀,73.78,680631-1322860,관절염,1005-9377-5749-0765
윤지연,lbae@dreamwiz.com,010-0795-3392,29,F,충청북도 진천군,1남1녀,57.40,901104-2912773,녹내장,7713-0548-7013-1728
김하윤,agim@naver.com,010-8430-3629,61,F,충청북도 진천군,외동딸,60.10,581120-2801026,메니에르병,4313-6316-6938-3782
한정수,jaehyeonyang@hanmail.net,010-7492-3582,55,M,전라북도 임실군,1남1녀,73.30,640117-1639737,골다공증,9030-1061-5548-3448
류영순,hwangjunyeong@naver.com,010-0870-3213,23,F,경기도 수원시 권선구,2남1녀,55.80,960230-2533352,안검염,1196-1932-8197-8074
안영희,hwangyeongsu@gmail.com,010-1475-8813,40,F,서울특별시 중구,1남2녀,58.00,790315-2510097,당뇨병,7614-2581-5969-9205
박지현,yejini@hanmail.net,010-6341-7713,39,F,경상남도 함양군,편모,60.07,800909-2998265,골수종,6128-7895-2667-2830
이정훈,bagyeongsig@nate.com,010-0729-9579,44,M,경상남도 창원시 진해구,2남1녀,74.62,750527-1225099,안검염,3406-7702-2034-5712
김영미,seoyeongim@nate.com,010-5575-7699,51,F,광주광역시 동구,실부실모,59.10,680409-2969335,콜레라,4859-5163-8980-1339
엄승현,ijeongsun@nate.com,010-5482-2391,47,M,서울특별시 동작구,1남2녀,74.26,720715-1220351,각막염,9315-8667-1572-7782
