name,email,phone,age,sex,address,city
이예진,byeongceolgim@dreamwiz.com,061-655-5492,65,F,대구광역시 서구 반포대거리 (영호최리),충주시
박건우,songseungmin@dreamwiz.com,018-357-3270,9,F,전라남도 삼척시 오금거리,수원시
이미정,ogsuncoe@jusighoesa.com,063-269-0477,70,F,세종특별자치시 구로구 개포5길,충주시
이현지,jinu17@icoe.org,016-049-6917,80,M,경상북도 홍성군 선릉길 (진호임김읍),수원시 장안구
김하윤,siu10@ju.com,054-671-5016,27,M,서울특별시 관악구 논현가,고양시 일산동구
조준혁,vi@yu.com,064-789-1039,14,F,경기도 금산군 학동길,의정부시
강진우,songsanghyeon@ju.net,053-879-1116,19,F,세종특별자치시 강동구 서초중앙가,천안시 서북구
문아름,gweonjiyeon@naver.com,051-749-1727,77,F,경상북도 고성군 테헤란4로,용인시
나예원,jaeho61@hotmail.com,062-079-3343,38,M,경상남도 성남시 중원구 백제고분길 (하은지읍),제천시
홍지은,sangceol34@hwangbagbag.net,016-751-2164,37,F,경상북도 음성군 서초대707가,용인시
황현우,ti@hanmail.net,041-224-4577,54,F,경기도 오산시 개포78거리 (정수이면),영월군
김채원,hayun76@gimjangsong.net,02-2844-9216,7,M,경기도 충주시 잠실758길 (영자김동),음성군
김재현,myeongjai@yuhanhoesa.net,052-983-1363,77,F,경상남도 이천시 반포대219거리 (영일노동),보령시
박성수,yeongho51@naver.com,018-208-4537,51,F,대전광역시 강동구 서초중앙로,평창군
김순자,junhoi@yu.com,017-365-3458,41,M,제주특별자치도 진천군 백제고분가 (민수이송마을),청양군
이상훈,junseocoe@gimibag.kr,063-880-7497,79,M,대전광역시 용산구 테헤란길,양평군
김재현,ogim@ju.com,052-964-1587,29,F,서울특별시 은평구 선릉가 (예원이박마을),삼척시
안지혜,hyeonji26@ju.com,019-113-4879,48,F,충청남도 양구군 도산대816길,속초시
안건우,gimgeonu@nate.com,070-8653-5374,68,M,서울특별시 성동구 압구정가,아산시
박영철,gimjongsu@gmail.com,063-139-0037,6,F,광주광역시 관악구 봉은사가 (명숙김마을),구리시
이예은,yeeun27@naver.com,010-9753-5452,76,F,제주특별자치도 구리시 봉은사로 (정희이읍),청양군
이상호,ggim@dreamwiz.com,064-781-3027,76,M,서울특별시 종로구 오금로,이천시
이도현,jeongsu20@gimgim.com,055-699-1059,43,M,제주특별자치도 공주시 강남대가 (지훈김안마을),수원시 권선구
